,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_RNET,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_evi,wp_lswi2,wp_ndvi,mb_evi,mb_lswi2,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
451,4.17,1.1851699234,18.1708333333,280,0.0,17.4583333333,18.144,1.94166666667,2013,10.3412441409,1074.82758216,-14.4688368254,29.3717746123,-43.8406114376,-0.697332305192,8.67147771775,7.65621126761,2490.67890627,-10.6576234893,38.5201293818,-49.177752871,-1.07176736074,11.6015808096,0.2974,0.137727081967,0.526872,0.2937125,0.632928617992,0.6680375,26.3096957677,12.1965824099,21.8288508569,15.3045723684
452,4.39,1.11376655642,18.2958333333,281,0.0,17.5625,16.4628,3.31666666667,2013,7.87418301068,1129.26465308,-12.9070430599,31.1397033162,-44.0467463761,-1.38562521302,7.98026297581,5.87345070423,2446.92564814,-8.76616990395,39.9426096964,-48.7087796003,-1.43301363661,9.1732471233,0.2953,0.133962209096,0.525984,0.29198125,0.630789602347,0.66799375,26.4971651337,11.931466222,21.5632315235,15.1851188867
453,4.05,0.872739823688,16.6958333333,282,0.0,17.5208333333,17.2584,3.69166666667,2013,9.24000677802,1960.31096561,-15.6495104121,36.4328889846,-52.0823993967,-1.25818354754,7.719791704,6.94863380282,2102.04467043,-10.6318457805,41.5974546004,-52.2293003809,0.291753007482,8.88728599333,0.2932,0.130197336224,0.525096,0.29025,0.628650586701,0.66795,26.6602580535,11.657154738,21.3019086546,15.0633211796
454,3.19,0.716133741858,15.0375,283,0.0,17.375,17.0784,1.75416666667,2013,9.32527449336,503.522083786,-26.2504972113,21.5071865037,-47.757683715,0.797771334254,6.45785784445,6.75126760563,1446.23792912,-7.73890121354,35.0218658703,-42.7607670838,0.201047786588,6.59109744125,0.2911,0.126432463353,0.524208,0.28851875,0.626511571056,0.66790625,26.7989745271,11.373647958,21.0448822502,14.939179247
455,3.26,0.563653773541,14.7333333333,284,0.0,17.1875,17.2404,2.33333333333,2013,9.42443838668,524.689670479,-35.8806802852,21.8307084445,-57.7113887296,1.42279705817,6.23818573161,6.80285915493,2226.00449365,-13.9358230065,42.1845693612,-56.1203923677,2.27129878017,7.61569831708,0.289,0.122667590482,0.52332,0.2867875,0.624372555411,0.6678625,26.01,10.15,21.55,12.65
456,3.56,0.661931830714,15.1,285,0.0,17.025,16.956,2.58333333333,2013,8.85986263042,624.354041286,-29.3439230528,23.0393338114,-52.3832568642,0.103872270513,7.03053003815,6.31381690141,2378.96229576,-15.960805549,42.4881740236,-58.4489795726,1.02337736674,8.23774951766,0.2869,0.11890271761,0.522432,0.28505625,0.622233539765,0.66781875,27.0032781358,10.794124586,20.5437188347,14.6838627053
457,4.53,0.943236027093,16.7916666667,286,0.0,17.0583333333,17.2512,3.78333333333,2013,8.89448985081,654.256513374,-23.2936238993,23.3804433099,-46.6740672092,-0.593215558147,7.66052034713,6.58711267606,1820.21402898,-6.52069572713,38.7585380625,-45.2792337897,-0.110002966354,8.23160285355,0.2848,0.115137844739,0.521544,0.283325,0.62009452412,0.667775,27.0688652708,10.5282601469,20.2995818237,14.5526880962
458,3.91,0.944591965166,16.0958333333,287,0.0,16.7583333333,17.2368,2.44166666667,2013,8.80276282864,487.954092252,-22.5769589724,20.6756054256,-43.252564398,0.68259708688,6.84051672997,6.1816056338,1975.20146607,-16.5876294842,30.6536888403,-47.2413183245,-1.53371811943,10.4774465078,0.2827,0.111372971868,0.520656,0.28159375,0.617955508475,0.66773125,27.1100759597,10.2833525645,20.0597412772,14.4191692616
459,4.44,1.14197837118,17.2041666667,288,0.0,16.4666666667,17.208,2.79166666667,2013,9.0348841925,508.899201421,-21.5671017125,21.8654949875,-43.4325966999,0.342002704069,7.61408860564,5.99209859155,1748.27681836,-18.3046031687,29.4922190508,-47.7968222195,-4.144533241,11.5546253665,0.2806,0.107608098997,0.519768,0.2798625,0.615816492829,0.6676875,27.1269102023,10.0594018388,19.8241971952,14.2833062016
460,3.03,0.96973698006,15.9041666667,289,0.0,16.2625,16.6896,1.2625,2013,8.8975383182,495.122923113,-17.8028914363,21.9241357341,-39.7270271704,0.545893418536,6.69963770978,6.51498591549,1320.11555076,-14.1266070022,30.7633640644,-44.8899710666,1.44067023359,6.82707037642,0.2785,0.103843226125,0.51888,0.27813125,0.613677477184,0.66764375,27.1193679988,9.85640796988,19.5929495776,14.145098916
